;Licence +;Licence ++;Licence +++;;;;;;;;;;;;;;;;;;;;;;;;;;
Snapchat;;;"Snapchat collecte les données de connexion quand vous utilisez nos services. Ces données comprennent notamment le moteur de recherche et la langue, l’heure d’accès, les pages vues, l’adresse IP et le site visité avant de naviguer sur Snapchat.
(...) Il est possible que des entreprises collecte vos données personnelles pour savoir comment vous utilisez les services (...) Ces données peuvent inclure les identifiants électroniques, le fabricant du téléphone, l’adresse IP, le type de moteur de recherche, les pages vues etc... Ces informations peuvent notamment être utilisées dans plusieurs buts.";;;;;;;;;;;;;;;;;;;;;;;;;;
Tumblr;Utilisation des identifiants électroniques seulement pour et pendant l'exécution du contrat.;Possibilité de rechercher ses amis par le biais d'une fusion avec le carnet d'adresse d'une adresse mail.;"Afin d'améliorer le service, Tumblr partage les informations détenues - comme les adresses IP- avec des tiers. ""Agents with whom we share such information for these reasons are generally bound by confidentiality obligations and, unless we tell you differently, our Agents do not have any right to use information we share with them beyond the scope and duration of what is necessary to assist us"".";;;;;;;;;;;;;;;;;;;;;;;;;;
MEDIUM;Utilisation des identifiants électroniques seulement pour et pendant l'exécution du contrat.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Couchsurfing;;;"""We may also obtain information from other sources and combine that with information we collect through our Services. For example, if you create or log into your Couchsurfing account through a third-party social networking site, we will have access to certain information from that site, such as your name, profile picture, connections and other account information in accordance with the authorization procedures determined by such third-party social networking site.""";;;;;;;;;;;;;;;;;;;;;;;;;;
Blablacar;;;;Pas d'information;;;;;;;;;;;;;;;;;;;;;;;;;
Steam;;;;Pas d'information;;;;;;;;;;;;;;;;;;;;;;;;;
Viber ;Viber fait une copie des contacts et les stocke dans une base de données active quui n'a pas de sauvegarde historique. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACEBOOK;;;"(dans data policy) « Nous recueillons des
informations lorsque vous visitez ou utilisez des sites web et des applications
de tiers qui ont recours à nos services (par exemple, lorsqu’ils incluent nos
boutons J’aime ou Se connecter avec Facebook) »

« Se connecter  avec facebook » implique une fusion des
identifiants avec des tiers. On peut d'ailleurs confirmer ce fait par les clauses d'autres plateformes comme Spotify ou Kayak.";;;;;;;;;;;;;;;;;;;;;;;;;;
Viadeo;« L'identifiant et le mot de passe choisis par le Membre lors de l'inscription permettent d'accéder au Service. Ces données sont confidentielles. »;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skype;;« Avant votre première utilisation du Logiciel Skype, il vous sera demandé de créer un Compte utilisateur et de choisir un pseudo et un mot de passe. Nous vous recommandons de choisir un mot de passe difficile à deviner et composé de lettres, de chiffres et de symboles. Vous ne pouvez utiliser le Logiciel que par le biais de votre Compte utilisateur. Vous êtes seul responsable de toutes les activités réalisées sur votre Compte utilisateur. »;;;;;;;;;;;;;;;;;;;;;;;;;;;
Google ;;;"Nos serveurs enregistrent automatiquement les pages consultées lorsque les internautes visitent nos sites. En règle générale, ces « journaux de serveur » peuvent inclure votre requête Web, votre adresse IP, le type et la langue de votre navigateur, la date et l’heure de votre requête ainsi qu’un ou plusieurs cookies permettant d’identifier votre navigateur de façon unique.

Si votre compte Google vous a été attribué par un administrateur, il se peut que des conditions d’utilisation différentes ou additionnelles s’appliquent

Nos partenaires et nous-mêmes utilisons différentes technologies pour collecter et stocker des données lorsque vous accédez à un service Google, par exemple en envoyant un ou plusieurs cookies ou identifiants anonymes sur votre appareil.
Si d’autres utilisateurs disposent déjà de votre adresse e-mail, ou de toute autre donnée permettant de vous identifier, nous sommes susceptibles de leur montrer les données de votre Profil Google disponibles publiquement

Ce choix de la Licence +++ s’impose à cause de l’existence des compte google, des possibilités de synchronisation,";;;;;;;;;;;;;;;;;;;;;;;;;;
Instagram;;": « Les identificateurs de périphériques sont de petits fichiers de données ou des structures de données similaires qui sont stockés sur, ou associés à, votre appareil mobile et qui permettent de l’identifier de manière unique. »
(…)
« Les identificateurs de périphériques peuvent communiquer à Instagram ou à ses partenaires tiers des informations sur la manière dont vous parcourez et utilisez le Service et peuvent aider Instagram ou d’autres à fournir des rapports, des publicités et du contenu personnalisés. »
« Si vous choisissez de rechercher vos amis par le biais d’un (ii) site de réseau social tiers, vous êtes invité(e) à créer un lien vers ce service tiers et vous acceptez que toute information que ce service peut nous fournir soit régie par la présente Si vous choisissez de rechercher vos amis par le biais d’un (ii) site de réseau social tiers, vous êtes invité(e) à créer un lien vers ce service tiers et vous acceptez que toute information que ce service peut nous fournir soit régie par la présente Politique de confidentialité. »";;;;;;;;;;;;;;;;;;;;;;;;;;;
Blizzard, Battle.net;Utilisation de l’adresse IP uniquement à des fins d’utilisation du Service fourni.;Le navigateur internet pourra transmettre à Blizzard des données concernant la configuration de votre machine. Ces données seront utilisées à des fins d’amélioration du Service, mais elles seront également communiquées aux partenaires commerciaux de Blizzard.;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pinterest;;« You also may give us permission to access your information in other services. For example, you may link your Facebook or Twitter account to Pinterest, which allows us to obtain information from those accounts (like your friends or contacts). The information we get from those services often depends on your settings or their privacy policies, so be sure to check what those are. »;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dofus-Ankama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adopte un mec;;Les informations ainsi collecte?es sont destine?es a? e?tre utilise?es exclusivement par AdopteUnMec et ses prestataires. Toute diffusion a? des tiers des donne?es personnelles recueillies sur les Utilisateurs fera l'objet d'une demande expresse et pre?alable.;;;;;;;;;;;;;;;;;;;;;;;;;;;
Informations publiques / données de profil;Uniquement accessible aux autres utilisateurs;Mise à disposition des partenaires pour référencement et agrégation (avec opt-in);Mise à disposition publique pour référencement et agrégation (avec opt-out);;;;;;;;;;;;;;;;;;;;;;;;;;
Whatsapp;"Please note that any Status Submissions or other content posted at the direction or discretion of users of the WhatsApp Service becomes published content and is not considered personally identifiable information subject to this PrivacyPolicy. 
Veuillez noter que les demandes d'état ou tout autre contenu affiché à la direction ou la discrétion des utilisateurs du Service WhatsApp deviennent des contenus publics et ne sont pas considérés comme des informations personnelles pouvant vous identifier soumises à la politique de vie privée présente.";-;-;;;;;;;;;;;;;;;;;;;;;;;;;;
Twitter;;;"infos librement accessible sauf système d’opt-out pour faire un profil fermé
« Votre nom et votre nom d’utilisateur sont listés publiquement dans nos Services, notamment sur votre page de profil et dans les résultats de recherche. »
« Par défaut, les informations que vous fournissez restent presque tout le temps publiques tant que vous ne les effacez pas de Twitter, mais nous fournissons habituellement des possibilités de paramétrage qui vous permettent de conserver la confidentialité des informations si vous le souhaitez. »";Remarque inverse pour Twitter dont la philosophie principale est d'être un réseau social ouvert entre tous.;;;;;;;;;;;;;;;;;;;;;;;;;
Snapchat;;Quand les autres utilisateurs consultent votre profil, ils pourront voir votre nom d'utilisateur, le nombre de messages envoyés et reçus, les amis avec lesquels vous échangez le plus, et, selon vos réglages, le nom.;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groupe LinkedIn;;;« Toutes les données que vous mentionnez sur votre profil et tout contenu que vous publiez sur LinkedIn peuvent être vus par d’autres » Changement possible des paramètres de confidentialité;;;;;;;;;;;;;;;;;;;;;;;;;;
Tumblr;;;"""All sharing through the Services is public, and when you 
provide us with content it is published so that anyone can view it. 
Although we do provide tools, like password-protected blogs, Asks, and 
Fan Mail, that let you publish content privately, you should assume that
 anything you publish is publicly accessible unless you have explicitly 
selected otherwise. Also, please keep in mind that anything you share 
privately with another user, particularly through an Ask, Fan Mail, or 
submitted post, may be posted publicly by that user. Content published 
and shared publicly is accessible to everyone, including search engines,
 and you may lose any privacy rights you might have regarding that 
content. In addition, information shared publicly may be copied and 
shared throughout the Internet, including through actions or features 
native to the Services, such as reblogging.
    At its heart, Tumblr is a public 
platform"".";Par défaut, tous les contenus partagés sur Tumblr sont public. Il existe cependant des blogs pouvant être protégés par mot de passe, demande d'accès qui permettent de voir l'accès à son contenu, restreint. La règle est que tout les contenus sont publics, les contenus privés sont l'exception et nécessite que l'utilisateur en ait explicitement fait la demande. ;;;;;;;;;;;;;;;;;;;;;;;;;
MEDIUM;;; Le contenu publié sur Medium est, par défaut, public, il n'y a pas de contenu privé. Tous les contenus sont accessible publiquement à tous. Le contenu peut être copié, partagé par d'autres. L'utilisateur est libre de supprimer le contenu qu'il a publié ou de supprimer entièrement son compte. Il est précisé qu'à cause de la nature fondamentale de l'internet, il est fortement probable que d'autres utilisateurs commentent ou partage votre contenu, des copies peuvent subsister partout, notamment dans les serveurs de Medium. ;;;;;;;;;;;;;;;;;;;;;;;;;;
Couchsurfing;;;"""We will not share information about you with outside parties except:
[...]
- With third party vendors, consultants and other service providers who need access to such information to carry out their work for us;
- With others who access or use our Services in accordance with the privacy settings you establish;
- With search engines in order to index the content you provide as part of a discussion forum or public profile;
- With partners who run contests, special offers or other events or activities in connection with our Services;""";;;;;;;;;;;;;;;;;;;;;;;;;;
Blablacar;"Blablacar fonctionne avec un système de profil ouvert, sans distinction entre les utilisateurs inscrits ou non-inscrits. Toutes personnes utilisant le site peut avoir accès à :
- Votre prénom
- L'initiale de votre nom de famille
- Votre âge
- Votre photo de profil
- Le modèle de votre véhicule
- Votre description personnelle
- Vos statistiques de connexion et de conduite";;"MAIS... votre profil public est probablement démultipliés sur plusieurs sites partenaires :

""En acceptant les pre?sentes CGU, vous acceptez que les informations fournies au
moment de l'inscription soient publie?es sur les sites de covoiturage de Comuto.
Comuto se re?serve le droit de reproduire toute information figurant sur le Site ou sur des sites partenaires.
En particulier, les annonces publie?es sur l'un des sites e?dite?s ou co-e?dite?s par Comuto peuvent e?tre reproduites sur d'autres sites e?dite?s ou co-e?dite?s par Comuto ou des tiers.""";;;;;;;;;;;;;;;;;;;;;;;;;;
Steam;« Dans certains cas, les informations personnelles que les utilisateurs saisissent en utilisant Steam peuvent être mises à la disposition des autres utilisateurs de Steam. Par exemple, lors de la création d'un compte Steam, Valve collecte l'adresse e-mail et le nom d'utilisateur de l'utilisateur et, à la discrétion de ce dernier, ses nom et prénom. Certaines de ces informations peuvent faire l'objet de recherches et sont accessibles aux autres utilisateurs de Steam. Valve n'est en aucun cas tenu de préserver la confidentialité des informations personnelles qu'un utilisateur met à la disposition des autres utilisateurs via Steam ou tout autre logiciel Valve, par exemple dans le chat multijoueur ou d'autres fonctions publiques. « ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viber ;Les autres utilisateurs verront votre statut de connexion (si vous êtes en ligne ou non, et si vous n'êtes pas connecté, la dernière fois que vous vous êtes connecté au service), et si vous avez vu les messages qu'ils vous ont envoyés. Vous pouvez désactiver cette fonction dans les paramètres.Le nom et la photo sont facultatifs et ne sont visibles des autres utilisateurs que s’ils aiment le numéro Viber ou s’ils appartiennent à un groupe commun.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACEBOOK;;;(dans data policy) « Les informations publiques sont accessibles à tout le monde, à travers comme en dehors de nos services, et peuvent être vues ou retrouvées à l’aide des moteurs de recherche en ligne, des interfaces API et des médias hors ligne, tels que la télévision ».;;;;;;;;;;;;;;;;;;;;;;;;;;
Viadeo;;;"« Listes et autres informations publiques : nos services ont pour objectif de vous aider à partager des informations professionnelles avec le reste du monde. La plupart des informations que vous nous transmettez sont des données que vous souhaitez rendre publiques par notre intermédiaire.


Dans la plupart des cas, nos activités nécessitent que nous rendions publiques les informations que vous nous communiquez, mais nous vous proposons, le cas échéant, de maintenir une certaine confidentialité par rapport à ces données. Vos informations publiques sont diffusées de manière globale et instantanée. Ainsi, de nombreux moteurs de recherche peuvent accéder à vos informations publiques qui sont immédiatement communiquées à un vaste éventail d’utilisateurs et de services. En conséquence, nous vous conseillons de sélectionner avec soin les informations que vous souhaitez rendre publiques par l’intermédiaire d’APVO. »";;;;;;;;;;;;;;;;;;;;;;;;;;
Skype;« Vous ne pouvez utiliser le Logiciel que par le biais de votre Compte utilisateur. »;;;Aucune clause ne précise explicitement l’accès au donnée de profil, mais l’on peut en déduire que seules les utilisateurs Skype peuvent avoir accès à ces données de profil.;;;;;;;;;;;;;;;;;;;;;;;;;
Google;;"Si d’autres utilisateurs disposent déjà de votre adresse e-mail, ou de toute autre donnée permettant de vous identifier, nous sommes susceptibles de leur montrer les données de votre Profil Google disponibles publiquement, telles que votre nom et votre photo. 
Si vous disposez d'un compte Google, nous pouvons afficher le nom et la photo de votre profil, et les actions que vous effectuez sur Google ou sur des applications tierces connectées à votre compte Google […]au sein de nos services, y compris dans le cadre de la diffusion d'annonces ou dans d'autres contextes commerciaux. Nous nous conformerons aux paramètres de partage ou de visibilité que vous définissez dans votre compte Google.";;;;;;;;;;;;;;;;;;;;;;;;;;;
Instagram;"Uniquement accessibles aux autres utilisateurs du Service, selon les paramètres de confidentialité définis pour le compte.
« (…) tout Contenu d’utilisateur que vous rendez public peut faire l’objet de recherches par d’autres utilisateurs et peut être utilisé par l’API Instagram. »";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Blizzard, Battle.net;n/a;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;
Pinterest;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adopte un mec;;Les informations ainsi collecte?es sont destine?es a? e?tre utilise?es exclusivement par AdopteUnMec et ses prestataires. Toute diffusion a? des tiers des donne?es personnelles recueillies sur les Utilisateurs fera l'objet d'une demande expresse et pre?alable.;;;;;;;;;;;;;;;;;;;;;;;;;;;
Données de localisation;Uniquement pour et pendant la fourniture de service/ conservation limitée aux obligations légales;Mise à disposition des partenaires pour référencement et agrégation (avec opt-in);Publication automatique / poursuite de la collecte dans le temps après l’activation / concession de licence d’exploitation perpétuelle;Pas de collecte des données de localisation. ;;;;;;;;;;;;;;;;;;;;;;;;;
Vine;Vine peut utiliser et stocker les informations de localisation pour améliorer et personnaliser le service, en nous suggérant du contenu identifié près de notre localisation, par exemple;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Whatsapp;-;-;-;"We do not collect location data, but users may voluntarily share their location with other users via the WhatsApp Service.
Nous ne collectons pas les données de localisation mais les utilisateurs partagent volontairement leur position avec les autres utilisateurs via le service de WhatsApp. ";;;;;;;;;;;;;;;;;;;;;;;;;
Twitter;;"Opt-in pour la publication de l’affichage de la position • Mais localisation possible sans opt-in par des moyens dérivés
• Mais collecte en vue d’une conversation de localisation dans but commercial";;;;;;;;;;;;;;;;;;;;;;;;;;;
Snapchat;;"""Avec votre consentement, nous collectons la localisation de votre appareil afin que vous puissiez utiliser aux mieux nos fonctions (...) Vous pouvez toujours retirer votre consentement en changeant le paramétrage. Si c'est ce que vous faites, certaines fonctionnalités ne marcheront plus.""";;;;;;;;;;;;;;;;;;;;;;;;;;;
Tumblr;Dans certains cas (il n'y a pas de précisions sur le sujet) Tumblr peut collecter et stocker des informations sur la localisation de ses utilisateurs, ou peut en faire la demande à l'utilisateur afin de géolocaliser un post ou de personnaliser ses services.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MEDIUM;;;;Aucune information;;;;;;;;;;;;;;;;;;;;;;;;;
Couchsurfing;;;"""When you access or use our Services, we may also automatically collect information about you, including :
- Location Information : We may collect information about your location each time you access or use our mobile application or website, or otherwise consent to the collection of this information.
[...]
 You have the ability to turn location-based services on and off by adjusting the settings of your Internet browser or mobile device and by following the standard uninstall process and removing Couchsurfing's application from your device. (=Opt-out)
[...]
Even after you deactivate your account, we may retain certain information as required by law, for legitimate business purposes and to protect member safety."" (=conservation légale + à des fins commerciales ou sécuritaires)";;;;;;;;;;;;;;;;;;;;;;;;;;
Blablacar;;;;Blablacar ne mentionne aucune collecte de donnée de localisation (même si le site référence les lieux de départ et d'arrivée ainsi que les étapes des différents conducteurs). ;;;;;;;;;;;;;;;;;;;;;;;;;
Steam;;;;Pas d'information (pas de collecte);;;;;;;;;;;;;;;;;;;;;;;;;
Viber;« Viber vous permet de joindre des informations de localisation aux messages que vous envoyez à d'autres utilisateurs ou d'envoyer un message de localisation spécifique. Si vous décidez de partager votre emplacement avec un certain utilisateur ou groupe, votre localisation sera extraite de votre appareil et envoyée à Viber. Viber utilisera cette localisation uniquement pour cette tâche et la supprimera de ses serveurs une fois le message reçu. Pour éviter tout doute, Viber ne partagera pas vos informations de localisation et ne les utilisera que pour l'opération que vous avez demandée.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACEBOOK;;;"(dans data policy) ""Lorsque nous disposons d'informations de localisation, nous les utilisons
pour adapter nos Services pour vous et les autres utilisateurs :
Nous pouvons rassembler les
informations que nous recueillons à partir de vos différents appareils afin de
vous offrir des services cohérents sur l’ensemble de vos appareils. Voici quelques
exemples d’informations sur les appareils que nous recueillons : 
 Les données d’emplacement de
     l’appareil, notamment les données d’emplacement géographique précises
     recueillies à travers les signaux GPS, Bluetooth ou Wi-Fi""                Autrement dit, les données de géolocalisation sont collectées via divers données, or même si l'on peut choisir de ne pas afficher sa localisation lors de l'utilisation de messenger ou de publication sur son fil d'actualité (voir option de confidentialité que l'utilisateur peut configurer), ces données sont tout de même collectées.";;;;;;;;;;;;;;;;;;;;;;;;;;
Viadeo;APVO garde trace, via ces cookies, des connexions au Site, et de leur origine notamment. Cette utilisation est faite à des fins d'analyses statistiques, et sont détruites par la suite.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skype;;"« Lorsque vous utilisez un service ou une fonctionnalité basé sur vos données de géolocalisation (…) » ;
 « Lorsque vous utilisez une fonctionnalité Skype pour vous localiser avec le service Bing Maps (…) » ;
 « Lorsque vous demandez d'épingler votre emplacement sur une carte ou de rechercher les points d'accès Wi-Fi à proximité, votre demande est fournie à Bing Maps et/ou au fournisseur de services de cartographie tiers, qui se chargent de son traitement. »
 « Certains produits ou certaines fonctionnalités peuvent utiliser vos informations de géolocalisation pour vous proposer la fonctionnalité demandée ou personnaliser votre expérience. »";;Il est sous-entendu que les données de localisation sont obtenues par Skype sous réserve que l’utilisateur utilise effectivement une application impliquant l’activation de la géolocalisation. Il s’agit d’un mécanisme similaire à l’opt-in.;;;;;;;;;;;;;;;;;;;;;;;;;
Google;;Lorsque vous utilisez des services Google, nous sommes susceptibles de collecter et traiter des données relatives à votre position exacte. Nous utilisons différentes technologies pour vous localiser, y compris l'adresse IP, les signaux GPS et d'autres capteurs nous permettant notamment d'identifier les appareils, les points d'accès WiFi et les antennes-relais se trouvant à proximité.;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instagram;Il semblerait que les données géographiques ne soient destinées qu’à améliorer le Service fourni, sans précisions supplémentaires.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Blizzard, Battle.net;n/a;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;
Pinterest;n/a;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;
Dofus-Ankama;"Toutes types d’information personnelles ou non publiés par
  le biais de l’utilisateur ou depuis son ordinateur est considérées comme
  informations publiques« Vos communications écrites publiques peuvent
  être enregistrées, analysées, ou effacées par Ankama, afin qu'elle puisse
  contrôler si vos communications respectent les lois et les présentes CGU.
  Vous reconnaissez que Vous, et non pas Ankama, êtes responsable de toutes les
  communications intra-jeu et des contenus envoyés depuis votre ordinateur »";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adopte un mec;Aucune information à ce sujet dans les CGU.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Données dans le terminal;;Collecte des données de profilage et des données techniques (dont pub ciblée) pour la fourniture du service;Collecte des données de profilage et des données personnelles pour la fourniture du service;;;;;;;;;;;;;;;;;;;;;;;;;;
Vine;;Vine collecte automatiquement les données de P, navigateur, système d'exploitation, marque du téléphone, localisation, cookies, pages web visitées, ...) lors de l'utilisation de son site. Vine s'en sert pour améliorer et personnaliser son service. Les données sont effacées après 18 mois.;;;;;;;;;;;;;;;;;;;;;;;;;;;
Whatsapp;Il n'est fait aucune mention de collecte de données du terminal. ;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;
Twitter;;« Nous pouvons recevoir des informations (« Données de journal ») telles que votre adresse IP, le type de votre navigateur, votre système d’exploitation, la page Web d’où vous venez, les pages visitées, votre localisation, votre opérateur téléphonique, des informations relatives à votre appareil (notamment les identifiants de l’appareil et de l’application), des termes de vos recherches et des informations de cookies. »;;;;;;;;;;;;;;;;;;;;;;;;;;;
Snapchat;;;Snapchat collecte des données à propos de votre appareil électronique, incluant le modèle, le système d’exploitation et sa version, vos identifiants (adresse MAC ...), moteur de recherche et langue, numéro de téléphone, réseau (...) dans le but de les aider à diagnostiquer les problèmes en cas de problème lors de l’utilisation du service.;;;;;;;;;;;;;;;;;;;;;;;;;;
 Tumblr; ;When you use the Services, you also consent to the collection, transfer, manipulation, storage, disclosure and other uses of your information. We may use Account Information, alone or together with other information, to enhance and improve the Services. We use internal tools (from both Tumblr and Yahoo) and third party applications and services (like Google Analytics or comScore) to collect and analyze this information.;;;;;;;;;;;;;;;;;;;;;;;;;;;
MEDIUM;;;Collecte des données de profilage et des données personnelles pour la fourniture du service;;;;;;;;;;;;;;;;;;;;;;;;;;
Couchsurfing;;;"""When you access or use our Services, we may also automatically collect information about you, including :
- Device Information: We collect device-specific information when you access our Services, including your hardware model, operating system and version, unique device identifiers, mobile network information and information about the device’s interaction with our Services.
[...]
 You have the ability to turn location-based services on and off by adjusting the settings of your Internet browser or mobile device and by following the standard uninstall process and removing Couchsurfing's application from your device. (=Opt-out)
[...]
Even after you deactivate your account, we may retain certain information as required by law, for legitimate business purposes and to protect member safety."" (=conservation légale + à des fins commerciales ou sécuritaires)";;;;;;;;;;;;;;;;;;;;;;;;;;
Blablacar;Il n'est fait aucune mention de collecte de données du terminal. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Steam;Il n'est fait aucune mention de collecte de données du terminal. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viber;;Nos serveurs peuvent collecter automatiquement des données concernant votre adresse Internet lorsque vous visitez le Site. Ces informations, appelées adresse Internet Protocole ou adresse IP, sont constituées d'un numéro qui est automatiquement affecté à votre ordinateur par votre fournisseur de services Internet dès que vous allez sur Internet. Lorsque vous demandez des pages de notre site, nos serveurs enregistrent votre adresse IP et, le cas échéant, votre nom de domaine. Nous utilisons votre adresse IP pour mieux vous identifier et rassembler des informations démographiques sur nos membres et utilisateurs, mais elle ne comprend pas d'informations vous identifiant personnellement. Notre serveur peut également enregistrer la page de référence qui vous a conduit à nous (un autre site Web ou un moteur de recherche), les pages que vous avez visitées sur ce Site, le site sur lequel vous allez après avoir quitté ce Site, les publicités que vous consultez et/ou celles sur lesquelles vous cliquez, d'autres informations sur le type de navigateur Web, d'ordinateur, de plate-forme, de logiciel et de paramètres de vous utilisez, les termes de recherche que vous avez saisis sur ce Site ou sur le site de référence et d'autres activités Web ou données enregistrées par nos serveurs. Nous utilisons ces informations pour l'administration système interne, dans le but d'aider à diagnostiquer les problèmes de serveur et à administrer notre Service. Ces informations peuvent également être utilisées pour rassembler des informations démographiques telles que le pays d'origine et le fournisseur de services Internet.;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACEBOOK;;;"(dans data policy) ""Nous pouvons rassembler les informations que nous recueillons à partir de vos différents appareils [...] voici quelques exemples d'informations de vos appareils que nous recueillons : [...] les numéros d'identification de l'appareil [...] données d'emplacement géographique précises [ ...] votre numéro de téléphone mobile et votre adresse IP""    On peut voir parmi les exemples cités que la collecte concerne aussi bien des données techniques relatives à l'appareil, que des données de profilage comme la géolocalisation (entre autres).";;;;;;;;;;;;;;;;;;;;;;;;;;
Viadeo;;"« Les informations de session peuvent inclure des données telles que le type et la version de votre navigateur, votre système d’exploitation, votre adresse IP, le domaine de référence, les pages visitées et les termes recherchés. D'autres actions, telles qu’un clic sur une annonce publicitaire, peuvent également être incluses dans vos informations de session. »

« Nous utilisons votre adresse IP afin de relever des informations générales d’utilisation et de nous aider à améliorer notre site internet. »";;;;;;;;;;;;;;;;;;;;;;;;;;;
Skype;;« Skype recueille de nombreux types d'informations pour garantir un fonctionnement efficace et vous proposer les meilleurs produits et expériences possibles. Vous nous avez vous-même fourni directement certaines de ces informations. Nous recueillons des informations lorsque vous interagissez avec nos sites Web, nos logiciels, nos produits et nos communications marketing. Une partie des informations proviennent d'autres sources, que nous pouvons combiner avec les données que nous recueillons directement. »;;;;;;;;;;;;;;;;;;;;;;;;;;;
Google;;;Nous collectons des données relatives à l'appareil que vous utilisez, par exemple, le modèle, la version du système d'exploitation, les identifiants uniques de l'appareil et les informations relatives au réseau mobile, y compris votre numéro de téléphone. ;;;;;;;;;;;;;;;;;;;;;;;;;;
Instagram;n/a;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;
Blizzard, Battle.net;;Des informations concernant la configuration de votre ordinateur pourront être collectées dans le but d’améliorer le Service et de fournir des informations à des partenaires commerciaux.;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pinterest;;;« When you sign up for or use our products, you voluntarily give us certain information. This can include your name, profile photo, Pins, comments, likes, email address you used to sign up, and any other information you provide us. If you’re using Pinterest on your mobile device, you can also choose to provide us with location data. »;;;;;;;;;;;;;;;;;;;;;;;;;;
Dofus-Ankama;;;"Ankama se réserve le droit de collecter certaines
  informations liées à votre ordinateur (IP, fournisseur d'accès, configuration
  matérielle, configuration logicielle), notamment au moment de l'installation
  d'un jeu édité par la Société et en cas de modification matérielle de votre
  poste. Nous pouvons utiliser ces données à des fins de statistique (notamment
  pour améliorer les performances du jeu) et à des fins de gestion des bugs.";;;;;;;;;;;;;;;;;;;;;;;;;;
Adopte un mec;Il n'est fait aucune mention d'une collecte des données du terminal;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cookies;Opt-in : droit pour les internautes d’accepter leur utilisation et de refuser le croisement des données de navigation de leur terminal avec leurs données personnelles;Opt-out : Droit pour les internautes de refuser les cookies;Utilisation nécessaire et possible association avec des données personnelles pour permettre le fonctionnement du service;;;;;;;;;;;;;;;;;;;;;;;;;;
Vine;;Les fonctionnalités essentielles de Vine ne nécessitent pas de cookies ( comme visionner des vidéos). ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Whatsapp;-;-;"However, the WhatsApp Site may not function properly if the ability to accept cookies is disabled.
Cependant, le site WhatsApp peut ne pas fonctionner correctement si la capacité d'accepter les cookies est désactivée.";;;;;;;;;;;;;;;;;;;;;;;;;;
Twitter;;"• Utilisation des cookies non systématique
• Possible utilisation de cookies de session et de cookies persistants en vue d’analyse d’utilisation du réseau
• Mais acceptation automatique des cookies, désactivation manuelle possible
• Mais risque de disfonctionnement de certains services en cas de refus

« Nous utilisons les cookies et autres technologies similaires pour collecter des données supplémentaires sur l’utilisation du site Web et pour améliorer nos Services. »
«  Nous n’utilisons toutefois pas de cookies dans de nombreux éléments de nos Services (comme la recherche et l’affichage des profils utilisateurs publics). » 

« Twitter pourra utiliser à la fois des cookies de session et des cookies persistants pour mieux comprendre votre interaction avec nos Services, pour surveiller l’utilisation agrégée de nos utilisateurs, ainsi que le routage du trafic Web sur nos Services, ou encore pour personnaliser et améliorer nos Services. »

«  La plupart des navigateurs Internet acceptent automatiquement les cookies. En modifiant les paramètres de votre navigateur, vous pouvez interdire les cookies ou configurer l’apparition des fenêtres d’acceptation des cookies des sites Web que vous consultez. »

«  Néanmoins, certains Services pourront ne pas fonctionner correctement si vous désactivez/refusez les cookies. »";;"Difficulté de classification en raison du fait que ""certains"" services seulement peuvent être l'objet de disfonctionnement en cas de refus d'acceptation des cookies.";;;;;;;;;;;;;;;;;;;;;;;;;
Snapchat;;"""Si vous le préférez, vous pouvez toujours choisir de refuser les cookies. Gardez en tête cependant, que refuser les cookies pourrait affecter la disponibilité et les fonctionnalités du service.""";;;;;;;;;;;;;;;;;;;;;;;;;;;
