;Licence +;Licence ++;Licence +++;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Go voyages ;;;;"Nous pouvons également partager des données anonymes ou agrégées avec des tiers, en ce compris des publicitaires et des investisseurs.

Cette clause ne correspond pas aux catégories existantes puisqu’il y a uniquement une  agrégation  des données anonymes avec celles récoltés auprès des tiers";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heetch;n/a;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boursorama;n/a;n/a;n/a;Il n’est pas fait mention des conditions applicables en cas de fusion ou de cession d’activités;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paypal;;Divulguer des données statistiques agrégées avec nos partenaires commerciaux ou pour des relations publiques. Par exemple, nous pouvons indiquer le pourcentage de nos utilisateurs vivant à Manchester. Cependant, ces données d'ensemble ne sont pas liées à des informations personnelles.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Données d’identité;Uniquement pour et pendant la fourniture du service et pendant l’exécution du contrat;Opt-in préalable pour communicabilité des données d’identification à des tiers (mots de passe...);Communicabilité des données d’identification (nom, prenom...) à des tiers (hors autorité);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vente privée;En se basant sur le formulaire d'inscription de Vente Privée, il est possible de d'indiquer les données d'identité collectées: pays, civilité, nom, prénom, date de naissance, adresse postale et adresse email. La profession peut être renseignée facultativement.  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Airbnb;"Les tiers utilisateurs du site peuvent avoir accès à des données d'identité (nom, prénom, numéro de téléphone si opt-in,...) uniquement pour les besoins du service dans le cas des réservations (l'hôte a accès aux données de l'utilisateur réservant son bien, les utilisateurs ont accès à des informations personnelles concernant les hôtes éventuels - photo de profil, ville où se trouve le logement proposé, localisation approximative sur une carte)
Les données personnelles peuvent être communiquées à des tiers pour ""les besoins de votre identification"". Cela laisse entendre que les données d'identité sont divulguées à ces tiers qui ne peuvent les utiliser que pour les besoins de la fourniture des services";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amazon;"Communication à des tiers pour les besoins de la réalisation des prestations (transporteurs par ex) sans droit pour ces derniers de les utiliser à d’autres fins + respect de la politique de confidentialité d’Amazon. 
Le nom et l’adresse des utilisateurs d’Amazon ne sont jamais divulgués aux sociétés tierces pour des l’envoi d’offres promotionnelles (mais d’autres données type mail ou numéro de télépone peuvent a contrario l’être) + opt out possible pour ce cas précis.";Possible transmission des données à des tiers avec information préalable et les personnes concernées peuvent ne pas donner leur accord à cette transmission. Une garantie supplémentaire est accordée si ces tiers sont localisées hors EEE : Amazon s’assure que les informations sont transférées en conformité avec leur politique de confidentialité et dans le respect des lois relatives à la protection des données applicables au sein de l’EEE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Microsoft;""" Lorsque vous vous inscrivez pour utiliser nos sites ou services, vous pouvez être tenu de fournir des informations vous concernant, comme votre nom, votre date de naissance et votre code postal.""";"""Certains sites et services tiers qui vous permettent de vous connecter avec votre compte Microsoft ont besoin de votre adresse de messagerie afin de vous fournir leurs services. Le cas échéant, Microsoft peut communiquer votre adresse de messagerie lorsque vous vous connectez au site ou au service, mais en aucun cas votre mot de passe. Si vous créez les informations d’identification de votre compte Microsoft sur le site ou le service, ce dernier peut avoir un accès limité aux informations associées à vos informations d’identification et à votre profil, comme indiqué pendant la création du compte. """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBM;;"""Pour vous permettre d'interagir avec d'autres sites Web sur lesquels vous possédez peut-être des comptes (tels que Facebook et d'autres sites de médias sociaux) ou de vous joindre à des communautés sur ces sites, nous pouvons vous fournir des liens ou intégrer des applications tierces vous permettant de vous connecter, de publier du contenu ou de vous joindre à des communautés à partir de nos sites Web.
Nous pouvons également vous fournir des liens vers des sites Web non IBM.
L'utilisation de ces liens et applications est soumise aux politiques de confidentialité des sites tiers avec lesquelles vous devez vous familiariser avant d'utiliser les liens ou les applications.
IBM ne saurait être tenue responsable de leurs pratiques en matière de confidentialité ou de leur contenu.“";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mappy;"L’utilisation du Site et/ou des Services en ligne ne nécessite pas d’inscription ni d’identification préalable.Notre Site ne demande pas de données nominatives à ses visiteurs et ne procède à aucun enregistrement de données nominatives pour la simple consultation de ses pages.
Cependant, afin de vous fournir des services spécifiques vous pouvez être invité à laisser des données personnelles (nom, prénom, numéro de téléphone, adresse postale, adresse électronique…). Le caractère obligatoire ou facultatif des données vous est signalé lors de la collecte par un astérisque.
Nous ne collectons aucune donnée sensible, à savoir aucune donnée relative à vos origines raciales ou ethniques, à vos opinions politiques, philosophiques ou religieuses ou votre appartenance syndicale, ou qui sont relatives à votre santé ou votre vie sexuelle.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allo Resto;;;Pas de précision concernant les données d’identification mais il faut rappeler qu’Allo Resto pratique la communication des DP à des prestataires tiers, aux affiliés, à des tiers non affiliés aux fins de communication promotionnelle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Tom;Vos Renseignements personnels sont utilisés par TomTom pour exécuter ses obligations résultant de Votre livraison des produits et/ou services TomTom, en vertu du Contrat de licence utilisateur final, de la Limite de garantie, le cas échéant, ou de toute autre condition applicable.  TomTom utilise vos Renseignements personnels pour répondre à Vos questions et à vos demandes ou pour gérer des programmes clientèle interactifs. TomTom a le droit d'employer des tiers sous contrat pour l'exécution de ses obligations en vertu des présentes, toutefois, TomTom ne fournira pas Vos Renseignements personnels à un tiers sans Votre permission, sauf tel que nécessaire pour traiter Votre commande, répondre à Vos demandes ou gérer les programmes clientèle interactifs ou s'il est tenu de le faire par la loi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LastPass;Divulgation des informations d’identification uniquement aux tiers si nécessaire pour fournir les services et qui ont convenu de ne pas les divulguer à des tiers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Samsung;Communication des données d’identité aux collaborateurs, agents, prestataires, fournisseurs, partenaires commerciaux pour l’exécution de prestations pour la société ou pour accomplir une fonction pour leur compte (par ex : études de marché, assistance commerciale).;;;Les termes sont peu clairs : il est possible que Tumblr communique des informations d'identification à des tiers sans préciser qui, ni quelles données sont réellement concernées. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groupon;Communication des données d’identité aux partenaires commerciaux afin qu’ils puissent honorer leurs obligations contractuelles (EX : achat d’un coupon chez un prestataire du site, DP nécessaires pour la livraison) et aux prestataires de service pour qu’ils fournissent des services à la société (dans ce cas respect du Safe Harbor).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rue du commerce;;Nécessite l'autorisation expresse du détenteur des données (v. supra);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Booking;Lorsque vous effectuez une réservation, vous devez indiquer votre nom et votre adresse e-mail. On peut aussi vous demander vos numéros de téléphone, adresse postale, informations de paiement, ainsi que les noms des personnes voyageant avec vous et les préférences pour votre séjour. Nous utilisons vos données personnelles pour compléter et gérer vos réservations en ligne ainsi que pour transférer les détails de votre réservation à l’établissement que vous avez réservé.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ebay;"Les données personnelles recueillies par le site sont notamment : ""les informations que vous nous fournissez lors de votre inscription, 
comme une adresse e-mail, un numéro de téléphone fixe, un numéro de 
téléphone portable, des coordonnées postales et (en fonction du service 
utilisé) en fonction des services utilisés, des informations financières
 comme un numéro de carte de crédit ou de compte bancaire"". 

Les données personnelles ne sont pas diffusées à des tiers pour des besoins commerciaux. elles peuvent cependant etre divulguées à des tiers par Ebay dans le cadre de l'exécution des prestations (ex : lors d'une transaction l'écheteur peut voir l'e mail et le code postal du vendeur)";"Une divulgation des données personnelles à un tiers peut néanmoins etre effectué par Ebay dans le cas suivant : ""Les autres parties tierces auxquelles vous nous demandez explicitement 
d'envoyer vos informations (ou à propos desquelles vous avez été 
explicitement notifié et auxquelles vous avez accordé votre consentement
 lors de l'utilisation d'un service spécifique)""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asos;"""ASOS reçoit un certain nombre de données personnelles du fait de votre utilisation des services du Site Internet. Ces données comprennent vos noms, adresses, adresses électroniques, sexe, information de paiement, et date de naissance. Ces informations sont collectées pour nous permettre de traiter les commandes, de communiquer avec vous à propos de vos commandes et de votre compte, pour gérer nos dossiers, améliorer nos sites, prévenir et détecter la fraude et permettre à des tiers de fournir des prestations techniques, logistiques ou autres pour notre compte"".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TripAdvisor;;;"Communicabilité des données d'identification à des tiers si l'utilisateur est arrivé sur TripAdvisor par l'intermédiaire d'un partenaire : ""Si vous êtes arrivé sur notre Site par l’intermédiaire de l’un de nos partenaires (que vous soyez inscrit ou non auprès de ce partenaire) et si vous décidez de vous inscrire auprès de nous, il se peut que nous soyons tenus de communiquer au partenaire en question tout ou partie des informations d’inscription vous concernant."" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uber;;;"Communicabilité des données d'identification à des tiers intervenant dans le cadre de la fourniture du service (ex : tiers en charge de la fourniture d'informations de géolocalisation aux conducteurs, tiers en charge du paiement, tiers en charge de la maintenance du site etc.) : ""We may employ third party companies and individuals to facilitate or provide the Service on our behalf, to process payment, provide customer support, provide geo-location information to our Drivers, to host our job application form, to perform Website-related services (e.g., without limitation, maintenance services, database management, web analytics and improvement of the Website's features) or to assist us in analyzing how our Service is used. These third parties have access to your personal information only to perform these tasks on our behalf and are contractually bound not to disclose or use it for any other purpose."" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VSCO;;Voir les mentions enregistrées dans la rubrique finalité de la réutilisation des DP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kayak;;;"« Nous partageons vos données personnelles avec nos sociétés affiliées ainsi qu’avec les tiers partis à des fins commerciales légitimes, tel que permis par la Loi. Par exemple, nous partageons vos données personnelles avec les prestataires qui fournissent des services en notre nom et ont accepté par écrit de protéger et ne pas divulguer vos informations. »

« Si vous réservez via les Plateformes, nous partageons vos données personnelles avec le prestataire de services de paiement et les vendeurs de voyages avec qui vous avez effectué une réservation. Cela comprend les agences de voyage, hôtels, compagnies aériennes, agences de location de voiture et fournisseurs d’assurance de voyage. Ces tierces parties traiteront vos données personnelles en accord avec leurs propres politiques de confidentialité. »";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apple;;;"""Apple peut parfois mettre certaines données personnelles à disposition de partenaires stratégiques."" ""Ces données personnelles seront uniquement partagées par Apple pour fournir ou améliorer ses produits, services et publicités."" Apple partage des données personnelles avec ses prestataires de services qui exercent des missions telles que l'exécution des commandes clients, la livraison des produits, la fourniture du service client (liste non exhaustive, Apple cite des exemples). Même si ""Ces sociétés sont obligées de protéger les données personnelles"" à aucun moment Apple ne précise l'étendue des données personnelles communiquées aux ""partenaires stratégiques"" et aux ""prestataires de services.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DeviantArt;;;"Personally Identifiable Information. If you create an DeviantArt account via the DeviantArt Sites or through third party sites (an “Account”), we collect certain information that can be used to identify you, such as your name, age/birthdate, postal address, telephone number, e-mail address, credit card information, bank account details, social security number, or other information that can be used to contact you or identify you as an individual (collectively, “PII”).
 
 Except as noted, DeviantArt does not share your PII with third parties unless you give us your permission or we need to share such information in order to provide our Services to you at your request.
 
 Information We Disclose with Your Consent or at Your Request. We will share your PII with third-party websites or platforms, such as social networking sites, if you have expressly requested that we do so.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Go Voyages ;"l'Acheteur est informé que sa commande fait l'objet d'un traitement nominatif informatisé. Ces informations permettent à l'Intermédiaire ainsi qu'aux prestataires, de traiter et d’exécuter la commande.
L'Acheteur est informé et accepte, conformément aux dispositions de l'article 69 de la Loi Informatique et Libertés, que ses données soient transmises aux fournisseurs et sous-traitants dans le cadre de l’exécution des services, sans restrictions géographiques, y compris dans les pays qui ne sont pas en mesure d'offrir un niveau de protection comparable à celui offert par la Loi Informatique et Libertés.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heetch;n/a;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boursorama;n/a;n/a;"« BOURSORAMA sera susceptible de communiquer à ses partenaires les
données personnelles suivantes du MEMBRE - nom et prénom, adresse postale,
adresse électronique, numéro de téléphone » à des fins commerciales.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paypal;"Divulguer des informations, y compris et sans limitation, des informations relatives à la transaction ou au compte, des coordonnées personnelles et le contenu de communications à la police, aux forces de l'ordre, aux entités gouvernementales, intergouvernementales ou supranationales compétentes, aux organismes (autres que les autorités fiscales), services ou autorités ou organisations de régulation ou d'autorégulation compétents (y compris, sans limitation, les organismes définis dans le tableau sous l'en-tête ""Organismes"" ci-dessous) ou à tout tiers, y compris les sociétés du Groupe, avec lequel nous pensons devoir coopérer dans le cadre d'enquêtes relatives à des fraudes ou à d'autres types d'activités illégales ou potentiellement illégales ou pour mener des enquêtes relatives à des violations de nos Conditions d'utilisation (y compris, sans limitation, votre source d'approvisionnement ou votre fournisseur de carte bancaire). Si des informations fausses ou erronées nous sont fournies et que la fraude est avérée, nous communiquerons tous les détails nécessaires aux organismes de prévention des fraudes. Par conséquent, les autorités publiques pourront avoir accès à ces informations et les utiliser. Nous, ainsi que d'autres organisations, pouvons également accéder et utiliser (y compris depuis d'autres pays) auxdites informations et aux informations enregistrées par les organismes de prévention des fraudes en vue d'éviter la fraude et le blanchiment d'argent. Contactez-nous si vous souhaitez en savoir plus sur ces organismes de prévention des fraudes.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAD;Rad s’engage a? ne pas divulguer a? des tiers les informations communique?es par le Client sur le Site. Celles-ci sont confidentielles. Elles ne seront utilise?es que pour renforcer et personnaliser la communication notamment par des courriers e?lectroniques d’information.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Identifiants électroniques;Uniquement pour et pendant la fourniture du service et pendant l’exécution du contrat;Fusion des identifiants plusieurs services de l’entreprise/ transmission à des tiers pour fusion des identifiants ou recherche d’amis présents;Agrégation des identifiants avec tiers / utilisation des comptes de messagerie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vente Privée;Vente Privée recueille l'adresse électronique afin de pouvoir fournir un service de prestations de shopping online. Cette adresse email ne sera utilisée que pour la fourniture du service. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Airbnb;Les données de connexion sont collectées et conservées par le site lors de la navigation des utilisateurs. ;Possibilité de se connecter via FB et de demander à ses amis de poster des recommandations sur soi-même;Possibilité d'inviter des amis à utiliser le site airbnb par importation des contacts d'une messagerie. En ce cas, air bnb collecte mais ne conserve pas le nom d'utilisateur et le mot de passe du compte de messagerie électronique à partir duquel l'importation des contacts a été faite;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amazon;Collecte automatique des données de connexion pour les besoins du service, notamment lutte contre la fraude et les abus.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mappy;Pas de données de connexion, service en ligne ne nécessitant pas la création d'un compte.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allo Resto;;"“
ALLO RESTO vous permet de mettre un lien entre votre compte ALLO RESTO et des réseaux sociaux exploités par des Tiers. Si vous accédez à votre compte ALLO RESTO au travers d’un de ces réseaux, vous « Nous » autorisez à accéder aux informations de votre profil sur le dit réseau social et à les utiliser conformément avec notre « Politique de confidentialité et de respect de la vie privée », et en accord avec les termes de politique de confidentialité du réseau social en cause.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Tom;Nous collectons les Renseignements personnels que Vous nous transmettez volontairement via nos Sites web et Votre utilisation de nos produits et services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Microsoft;;"""Certains services animés par Bing, tels que les applications Cortana et MSN, vous fournissent une expérience améliorée lorsque vous connectez ces services à votre compte Microsoft. Au moment de vous identifier et de connecter ces services à votre compte Microsoft, Microsoft peut utiliser vos informations pour personnaliser ces services ainsi que d'autres services et applications Microsoft. La personnalisation vous offre une expérience personnalisée pour vous offrir des fonctionnalités qui sont les plus pertinentes sur vous et vos intérêts."" ""Si vous vous connectez à votre appareil Windows 8.1 avec votre compte Microsoft, Windows utilise les informations de votre compte Microsoft pour vous connecter aux applications, sites Web et services Microsoft.""";"""certains services et applications animés par Bing donnent la possibilité de configurer le service ou l'application afin d'utiliser des informations supplémentaires d'autres produits et services Microsoft ou de tiers. (vos informations Facebook, vos informations financières personnelles, informations d'autres société"". ""Notez que les sites et services qui vous permettent de vous connecter avec votre compte Microsoft peuvent utiliser ou partager votre adresse de messagerie ou toute autre information que vous leur fournissez selon les modalités décrites dans leurs politiques de confidentialité. Ils ne peuvent partager le numéro d’identification unique que leur fournit le service de compte Microsoft que pour fournir un service ou une transaction que vous aurez demandé.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBM;;"""Lors du téléchargement et de l'utilisation de ces applications, ou lors de l'enregistrement préalable à l'utilisation de ces outils d'informatique sociale, nous vous demanderons de fournir certaines informations personnelles. Les informations d'enregistrement seront régies et protégées par la présente Déclaration de Confidentialité, exception faite des informations qui ne sont pas mises automatiquement à la disposition des autres participants dans votre profil. Ces applications et ces outils peuvent inclure des déclarations de confidentialité supplémentaires contenant des informations spécifiques sur le recueil et le traitement des données.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LastPass;S’engage à ce que même ses employés n’aient pas accès aux identifiants, mots de passe principalement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Samsung;;;;Pas d'informations en ce sens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groupon;;« possibilité d’échanger avec des amis et de partager des informations sur les réseaux sociaux ». Si les adresses électroniques correspondent, fusion automatique des deux comptes. Si elles ne correspondent pas, demande de liaison des deux comptes à l’utilisateur.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rue du commerce;;;;Pas d'informations en ce sens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Booking;Lorsque vous visitez notre site Internet, même si vous n’effectuez pas de réservation, il se peut que nous collections certaines informations, telles que votre adresse IP, le navigateur que vous utilisez, ainsi que le système d’exploitation de votre ordinateur, sa version, les paramètres de langue et les pages que vous avez visitées Quand vous effectuez une réservation, notre système enregistre des données sur comment et depuis quels sites Internet vous avez réservé.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eBay;"""Lorsque vous consultez nos sites, 
utilisez nos applications, services et outils, ou interagissez avec nos publicités ou notre contenu, nous recueillons automatiquement les informations que nous envoie votre ordinateur, votre appareil mobile ou tout autre appareil utilisé pour accéder à ces ressources. 
Ces informations vous sont associées personnellement uniquement lorsque vous vous connectez en tant que membre, et comprennent :
                l'identifiant de l'appareil ou son identifiant unique, le type d'appareil, les informations sur l'ordinateur et la connexion, les statistiques sur la consultation des pages, le trafic vers et à partir des sites, l'URL de référence, les données publicitaires, l'adresse IP et les informations standard quand à votre connexion sur Internet ; et les informations anonymes recueillies via les cookies et les balises Web.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asos;;;;"Licence ++++
Aucune mention par le site de la collecte des identifiants électroniques. Seule une mention très vague sur la question des cookies est faite par le site : 
""Un cookie est un petit fichier qui est envoyé sur votre ordinateur, 
votre téléphone ou tout autre appareil lorsque vous vous rendez sur un 
site internet et qui reconnaîtra votre appareil lors de futures 
visites.""  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TripAdvisor;Recueil de l'adresse électronique pour les besoins de la fourniture du service et pour l'envoi  de publicité par TripAdvisor (opti-in : consentement préalable nécessaire - et rétractabe à tout moment);"Partenariat avec Facebook : ""Si votre personnalisation instantanée est activée dans vos paramètres de confidentialité Facebook et si vous êtes connecté à Facebook, TripAdvisor sera personnalisé pour vous lorsque vous visitez le site Web, même si vous utilisez le site Web de TripAdvisor pour la première fois. Par exemple, nous vous montrerons les avis de vos amis Facebook affichés sur TripAdvisor, ainsi que les lieux qu'ils ont visités. Afin de vous fournir cette expérience personnalisée, Facebook nous transmet les informations que vous avez choisies de rendre disponibles dans les paramètres de confidentialité de Facebook. Lesdites informations peuvent inclure votre nom, l'image de votre profil, votre sexe, vos listes d'amis et toute autre information que vous avez choisie de partager."""; TripAdvisor utilise le carnet d'adresses électroniques d'un utilisateur inscrit (adresses électroniques de membres ou de non-membres) afin de leur envoyer des messages au nom de l'utilisateur inscrit. Opt-in des membres ou non-membres nécessaire pour recevoir ces messages.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uber;Recueil de l'adresse électronique pour les besoins de la fourniture du service et pour l'envoi  par Uber de nouvelles offres spéciales et promotions (opt-out : rétractabe à tout moment);Possibilité d'inviter un ami via courriel/téléphone/réseau social : Tell-a-friend clause : If you choose to use our referral feature in the App to tell a friend about our Service, you will be prompted to enter your friend's email address or mobile phone number or log into your preferred social network. If you elect to refer a friend, we will automatically populate a message for you to send to your friend inviting him or her to try the Service on your behalf, however the actual message will be sent via your mobile device or social network and you will be able to edit the final message before you send it. We do not store your friend's data. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VSCO;;;Utilisation de Facebook Connect + Log file information is automatically reported by your browser each time you access a web page. When you use our Service, our servers automatically record certain log file information. These server logs may include anonymous information such as your web request, Internet Protocol (“IP”) address, browser type, referring / exit pages and URLs, number of clicks and how you interact with links on the Service, domain names, landing pages, pages viewed, and other such information.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kayak;;;« Si vous choisissez un service de tiers parti, tel Facebook Login, afin de vous connecter ou vous inscrire, vous nous autorisez à utiliser et sauvegarder les informations relatives au compte. »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DeviantArt;"Non-Personally Identifiable Information. Our servers automatically record certain information about how a person uses our Services (we refer to this information as “Log Data”), for both Account holders and non-Account holders (either will be referred to as a “User”).
 Log Data may include information such as a User's Internet Protocol (IP) address, mobile device identifier (…).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Go Voyages ;"GO Voyages collecte les données que vous communiquez:
- au moment où vous passez votre commande,
- lors de votre participation à nos jeux concours,
- lors de votre inscription à la newsletter.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apple;"Apple utilise des cookies pour: ""connaître les coordonnées, les identifiants et les informations à propos de l'ordinateur ou de l'appareil de l'utilisateur afin de personnaliser le système d'exploitation, de configurer le service icloud, de fournir un meilleur service client.""                                                             Apple collecte précisément  ""les adresses IP, le type de navigateur et la langue, le FAI, les sites web et application de renvoi et de sortie, le système d'exploitation, la date/l'heure et les données relatives au parcours du client sur le site d'Apple."" Ces données sont utilisées pour ""comprendre et analyser les tendances, administrer le site, connaitre le comportement des utilisateurs sur le site, améliorer les produits et services, collecter des informations démographiques à propos de l'ensemble des utilisateurs. Apple peut utiliser ces informations pour ses services marketing et publicitaires.""                                                                                                                                                                   Possibilité de opt-out en désactivant les cookies du navigateur web Safari mais dans ce cas ""certaines fonctionnalités du site web Apple ne seront plus disponibles.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heetch;n/a;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boursorama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paypal;Si vous utilisez PayPal comme moyen de connexion à des sites Web externes ou à des applications mobiles, il se peut que nous communiquions votre statut de connexion à un tiers proposant ce Service comme moyen de connexion, ainsi que les informations personnelles et autres données concernant votre compte que vous consentez à partager, de sorte que ledit tiers puisse vous reconnaître. PayPal n'autorisera pas l'accès d'un tel tiers à votre compte PayPal et ne procédera à des paiements depuis votre compte vers ledit tiers qu'avec votre autorisation spécifique. Vous pouvez accéder à, afficher et ajuster les paramètres de ce partage de données avec des marchands lorsque vous êtes connecté à votre compte PayPal.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAD;Rad s’engage a? ne pas divulguer a? des tiers les informations communique?es par le Client sur le Site. Celles-ci sont confidentielles. Elles ne seront utilise?es que pour renforcer et personnaliser la communication notamment par des courriers e?lectroniques d’information.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Informations publiques / données de profil;Uniquement accessible aux autres utilisateurs;Mise à disposition des partenaires pour référencement et agrégation (avec opt-in);Mise à disposition publique pour référencement et agrégation (avec opt-out);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apple;Les utilisateurs sont responsables des données personnelles qu'ils soumettent à un chat ou service de réseau social Apple. Ces DP partagées sont visibles par les autres utilisateurs qui pourront les lire, les collecter et les utiliser.;;Si l'utilisateur indique nom +adresse électronique sur un forum Apple ces informations sont publiques;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vente privée;-;-;-;"Il s'agit d'un site d'achat online. Il n'y a donc aucune interaction avec d'autres utilisateurs par le biais d'un profil. Vente privée n'est pas concernée par cette section. 
Proposition: intégrer une Licence 0 ""pas de mention de données publiques"". ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Airbnb;Les utilisateurs du site ont accès aux profils des autres utilisateurs ;Les partenaires d'airbnb peuvent avoir accès aux données présentes sur le profil de l'utilisateur;Les données du profil peuvent être indéxées sur des moteurs de recherche tiers. Cette fonction est activée par défaut avec possibilité d'opt-out. Airbnb informe qu'en cas de modification des informations, les anciennes peuvent continuer à être visibles sur le moteur de recherche pendant un certain temps avant qu'il ne soit mis à jour ou même rester toujours accessibles en l'état du fait de l'absence de mise à jour;"Attention : Airbnb n'est pas un réseau social : le profil n'a pas vocation à être un espace d'expression comme FB. L'impact de la publicité du profil semble limité. Proposition : inclure une catégorie particulière pour les ""profils"" d'utilisateurs en dehors des réseaux sociaux comme pour airbnb ou amazon";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amazon;;;Possibilité pour les utilisateurs de se créer un profil avec un système d’opt-out pour rendre le profil privé et donc accessible seulement par la personne concernée. La personne concernée contrôle ce qu’elle veut publier sur son profil.;Même remarque que pour Airbnb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mappy;Pas de profils accessibles sur mappy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allo Resto;"Responsabilité de l’utilisateur quant à son profil public. 

Profil uniquement accessible aux utilisateurs d’Allo Resto, cependant, Seul le Prénom et la première lettre du Nom apparaitra.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Tom;;;Votre nom d'utilisateur de compte pourra être affiché sur nos Sites web (et donc accessible au public) et sera lié à toute Votre activité TomTom. D'autres personnes pourront voir ce que Vous postez, chargez, commentez, notez et tous commentaires associés. Les avis envoyés à d'autres membres de la communauté concernant une activité douteuse et des violations de charte sur nos Sites web ont trait aux comptes utilisateurs et à des rubriques spécifiques. Si Vous associez Votre nom à Votre compte utilisateur, les personnes à qui Vous avez révélé Votre nom seront en mesure d'identifier vos activités TomTom.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Microsoft;X;X;X;Il n'y a pas de précision, sans doute car Microsoft ne propose pas de service de réseau social, d'endroit de convivialité en ligne.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
